companyName,legalForm,companyRegisterNumber,city,postalCode,streetAndNumber,country,iban,bic,vatId,registrationAuthority,registrationNumber,legalRepresentative,solePower
"Fahey, Homenick and Nienow",id,12918,West Andres,68002-3943,7521 Bogisich Parkways,Cape Verde,RO08FNWC760741MM49744A12,JSMUMHT1,d,officia,19961,true,true
Bartell LLC,qui,36096,Lansing,20825,638 Kimberly Via,Seychelles,AD5507700883T42369731G47,ERPELTO1,m,voluptatem,9637,true,true
"Mohr, Kuhn and McCullough",id,37208,Hoppeborough,52672-7679,22388 Wilkinson Curve,Mongolia,MK440082364E718C097,SIBINOP1,v,et,63398,false,true
McLaughlin and Sons,et,75693,East Elseland,96640-2508,368 Conroy Forks,Dominican Republic,MC60400101704663DY8I5DU0750,RNNETLR1,1,qui,95751,true,false
"Bergnaum, Rutherford and Klein",quisquam,70302,Gaylordville,74858,02433 Jo Centers,Swaziland,FI5490075800155271,KRVAMPA1,h,voluptas,84848,false,false
"Waelchi, Schmeler and Quitzon",aut,61054,West Michealside,29703-7964,2318 Shields Shoal,Libyan Arab Jamahiriya,PT75810052720089020076645,KPAOMYR1HAJ,a,quo,20428,true,true
"Jacobs, Stoltenberg and Cummerata",odit,94271,Chapel Hill,28886-8273,5742 Dibbert Dale,Belize,AL5484080088967A67TVAV9I5575,ZEWAFOL1169,n,architecto,51505,false,false
"Nikolaus, Schiller and Walker",tempore,7368,North Taryn,13480-7715,3909 Jeremie Manor,Barbados,BA330025430013908686,NWLUROG1,w,sunt,34598,true,false
Senger LLC,illum,52794,West Paris,14960,77940 Scarlett Centers,Portugal,FR613104296065X777D82071174,PSUUJME1768,v,totam,22697,true,true
Considine Inc,rerum,96358,Lake Jesse,23068-6866,672 Gleason Branch,Sri Lanka,KZ63009CD14816411946,TWLUDJL1029,k,illum,13578,false,false
Medhurst and Sons,ipsam,2978,Mohrhaven,15713-7860,94800 Kayley Forks,Martinique,FI0900520218803208,XTUUEUD1,1,asperiores,32163,false,true
"Parker, Dare and O'Reilly",aut,61221,South Carolynechester,09519,32911 Swift Street,Ethiopia,RS02404044007001003909,WCBAECO1,4,accusantium,62054,true,true
Bednar Group,et,8071,Norfolk,32090-3293,93261 Hessel Hollow,Egypt,ME62039002180009100533,LZVIZAO1WIA,h,odit,98146,true,false
Douglas Group,totam,25429,North Ollieside,67741,206 Macey Burgs,Tajikistan,HU34980022036446506042079607,FTGUIQN1,7,necessitatibus,13235,true,false
