orderNumber,deliveryDate,invoiceDate,paymentTerm,invoiceAmount
m,Thu Jul 06 2023 16:19:01 GMT+0200 (Central European Summer Time),Sun Jun 18 2023 04:53:38 GMT+0200 (Central European Summer Time),PS,36409
p,Sun Apr 02 2023 11:51:09 GMT+0200 (Central European Summer Time),Wed Jul 27 2022 17:11:08 GMT+0200 (Central European Summer Time),AU,6544
j,Thu Apr 06 2023 21:23:16 GMT+0200 (Central European Summer Time),Tue Dec 06 2022 06:18:38 GMT+0100 (Central European Standard Time),PR,32386
t,Fri Sep 30 2022 12:48:38 GMT+0200 (Central European Summer Time),Fri Aug 12 2022 14:36:30 GMT+0200 (Central European Summer Time),FR,91351
r,Sun Jul 31 2022 01:42:53 GMT+0200 (Central European Summer Time),Sun Jan 15 2023 07:39:49 GMT+0100 (Central European Standard Time),TO,79622
4,Tue Feb 07 2023 20:27:39 GMT+0100 (Central European Standard Time),Thu Jul 13 2023 17:35:25 GMT+0200 (Central European Summer Time),FO,36810
i,Wed Dec 28 2022 16:59:45 GMT+0100 (Central European Standard Time),Fri Mar 31 2023 18:33:12 GMT+0200 (Central European Summer Time),IQ,1526
0,Fri Dec 02 2022 12:35:03 GMT+0100 (Central European Standard Time),Sun Nov 20 2022 06:58:19 GMT+0100 (Central European Standard Time),NP,86634
2,Sun Jun 04 2023 14:52:50 GMT+0200 (Central European Summer Time),Mon Jan 16 2023 02:42:28 GMT+0100 (Central European Standard Time),TW,97596
j,Thu Nov 03 2022 16:31:36 GMT+0100 (Central European Standard Time),Thu Mar 09 2023 13:43:08 GMT+0100 (Central European Standard Time),EE,53491
f,Fri Mar 24 2023 16:56:02 GMT+0100 (Central European Standard Time),Mon Mar 13 2023 10:36:22 GMT+0100 (Central European Standard Time),KW,73883
a,Tue Aug 23 2022 04:17:38 GMT+0200 (Central European Summer Time),Mon Apr 17 2023 12:16:18 GMT+0200 (Central European Summer Time),MM,64732
a,Wed Jul 12 2023 05:55:42 GMT+0200 (Central European Summer Time),Thu Sep 22 2022 15:05:43 GMT+0200 (Central European Summer Time),BA,75156
m,Wed Apr 12 2023 16:38:17 GMT+0200 (Central European Summer Time),Thu Jun 15 2023 23:25:25 GMT+0200 (Central European Summer Time),EG,82121
7,Wed Oct 12 2022 02:17:05 GMT+0200 (Central European Summer Time),Wed Aug 24 2022 11:46:51 GMT+0200 (Central European Summer Time),RE,80783
m,Sun Sep 04 2022 22:39:34 GMT+0200 (Central European Summer Time),Wed Oct 19 2022 05:38:30 GMT+0200 (Central European Summer Time),BS,69083
m,Wed Oct 05 2022 08:20:54 GMT+0200 (Central European Summer Time),Tue Nov 01 2022 15:29:01 GMT+0100 (Central European Standard Time),CF,27973
4,Mon Feb 06 2023 15:29:22 GMT+0100 (Central European Standard Time),Sun Mar 19 2023 16:57:09 GMT+0100 (Central European Standard Time),IE,47154
